r_over_rs,S_track(1-rs/r),S_alt(sqrt),Z_SYM,Z_mu_only,Z_eps_only
1.9324,0.482522,0.694638,376.730,261.691,542.340
1.9475,0.486514,0.697505,376.730,262.771,540.111
1.9625,0.490445,0.700318,376.730,263.831,537.942
1.9775,0.494316,0.703076,376.730,264.870,535.832
1.9925,0.498129,0.705782,376.730,265.890,533.777
2.0076,0.501884,0.708438,376.730,266.890,531.776
2.0226,0.505584,0.711044,376.730,267.872,529.827
2.0376,0.509230,0.713603,376.730,268.836,527.927
2.0526,0.512822,0.716116,376.730,269.782,526.075
2.0677,0.516361,0.718583,376.730,270.712,524.268
2.0827,0.519850,0.721006,376.730,271.625,522.506
2.0977,0.523289,0.723387,376.730,272.522,520.787
2.1127,0.526679,0.725726,376.730,273.403,519.108
2.1278,0.530021,0.728025,376.730,274.269,517.469
2.1428,0.533316,0.730285,376.730,275.120,515.868
2.1578,0.536565,0.732506,376.730,275.957,514.303
2.1728,0.539769,0.734690,376.730,276.780,512.775
2.1878,0.542930,0.736838,376.730,277.589,511.280
2.2029,0.546047,0.738950,376.730,278.385,509.819
2.2179,0.549122,0.741027,376.730,279.167,508.389
2.2329,0.552155,0.743071,376.730,279.938,506.991
2.2479,0.555148,0.745083,376.730,280.695,505.622
2.2630,0.558102,0.747062,376.730,281.441,504.283
2.2780,0.561016,0.749010,376.730,282.175,502.971
2.2930,0.563892,0.750927,376.730,282.897,501.687
2.3080,0.566731,0.752815,376.730,283.608,500.429
2.3231,0.569533,0.754674,376.730,284.309,499.196
2.3381,0.572299,0.756504,376.730,284.998,497.988
2.3531,0.575029,0.758307,376.730,285.677,496.805
2.3681,0.577725,0.760082,376.730,286.346,495.644
2.3832,0.580387,0.761832,376.730,287.005,494.506
2.3982,0.583016,0.763555,376.730,287.654,493.390
2.4132,0.585612,0.765253,376.730,288.294,492.295
2.4282,0.588176,0.766926,376.730,288.924,491.221
2.4432,0.590708,0.768575,376.730,289.546,490.167
2.4583,0.593209,0.770201,376.730,290.158,489.133
2.4733,0.595680,0.771803,376.730,290.762,488.117
2.4883,0.598121,0.773383,376.730,291.357,487.120
2.5033,0.600533,0.774941,376.730,291.944,486.141
2.5184,0.602916,0.776477,376.730,292.522,485.179
2.5334,0.605271,0.777992,376.730,293.093,484.234
2.5484,0.607598,0.779486,376.730,293.656,483.306
2.5634,0.609898,0.780960,376.730,294.211,482.394
2.5785,0.612171,0.782413,376.730,294.759,481.498
2.5935,0.614417,0.783848,376.730,295.299,480.617
2.6085,0.616638,0.785263,376.730,295.832,479.750
2.6235,0.618833,0.786660,376.730,296.359,478.899
2.6385,0.621004,0.788038,376.730,296.878,478.061
2.6536,0.623149,0.789398,376.730,297.390,477.237
2.6686,0.625271,0.790741,376.730,297.896,476.427
2.6836,0.627369,0.792066,376.730,298.395,475.630
2.6986,0.629443,0.793375,376.730,298.888,474.845
2.7137,0.631495,0.794666,376.730,299.375,474.074
2.7287,0.633523,0.795942,376.730,299.855,473.314
2.7437,0.635530,0.797201,376.730,300.330,472.566
2.7587,0.637515,0.798445,376.730,300.799,471.830
2.7738,0.639478,0.799674,376.730,301.261,471.105
2.7888,0.641420,0.800887,376.730,301.719,470.391
2.8038,0.643342,0.802086,376.730,302.170,469.688
2.8188,0.645243,0.803270,376.730,302.616,468.996
2.8339,0.647123,0.804440,376.730,303.057,468.314
2.8489,0.648984,0.805596,376.730,303.492,467.642
2.8639,0.650826,0.806738,376.730,303.923,466.980
2.8789,0.652648,0.807866,376.730,304.348,466.328
2.8939,0.654451,0.808981,376.730,304.768,465.685
2.9090,0.656236,0.810084,376.730,305.183,465.051
2.9240,0.658002,0.811173,376.730,305.593,464.427
2.9390,0.659750,0.812250,376.730,305.999,463.811
2.9540,0.661480,0.813314,376.730,306.400,463.204
2.9691,0.663193,0.814367,376.730,306.797,462.605
2.9841,0.664889,0.815407,376.730,307.189,462.015
2.9991,0.666568,0.816436,376.730,307.576,461.433
3.0141,0.668230,0.817453,376.730,307.959,460.859
3.0292,0.669875,0.818459,376.730,308.338,460.292
3.0442,0.671504,0.819454,376.730,308.713,459.734
3.0592,0.673117,0.820437,376.730,309.084,459.182
3.0742,0.674715,0.821410,376.730,309.450,458.638
3.0892,0.676297,0.822373,376.730,309.813,458.102
3.1043,0.677863,0.823325,376.730,310.171,457.572
3.1193,0.679415,0.824266,376.730,310.526,457.049
3.1343,0.680951,0.825198,376.730,310.877,456.533
3.1493,0.682473,0.826119,376.730,311.224,456.024
3.1644,0.683981,0.827031,376.730,311.568,455.521
3.1794,0.685474,0.827934,376.730,311.908,455.025
3.1944,0.686953,0.828827,376.730,312.244,454.535
3.2094,0.688419,0.829710,376.730,312.577,454.051
3.2245,0.689870,0.830584,376.730,312.906,453.573
3.2395,0.691309,0.831450,376.730,313.232,453.101
3.2545,0.692734,0.832306,376.730,313.555,452.634
3.2695,0.694146,0.833154,376.730,313.874,452.174
3.2846,0.695545,0.833993,376.730,314.190,451.719
3.2996,0.696931,0.834824,376.730,314.503,451.269
3.3146,0.698304,0.835646,376.730,314.813,450.825
3.3296,0.699666,0.836460,376.730,315.120,450.386
3.3446,0.701015,0.837266,376.730,315.424,449.953
3.3597,0.702352,0.838064,376.730,315.724,449.524
3.3747,0.703677,0.838854,376.730,316.022,449.101
3.3897,0.704990,0.839637,376.730,316.317,448.682
3.4047,0.706292,0.840412,376.730,316.609,448.269
3.4198,0.707582,0.841179,376.730,316.898,447.860
3.4348,0.708861,0.841939,376.730,317.184,447.456
3.4498,0.710129,0.842691,376.730,317.467,447.056
3.4648,0.711386,0.843437,376.730,317.748,446.661
3.4799,0.712632,0.844175,376.730,318.026,446.270
3.4949,0.713867,0.844907,376.730,318.302,445.884
3.5099,0.715092,0.845631,376.730,318.575,445.502
3.5249,0.716306,0.846349,376.730,318.845,445.124
3.5399,0.717510,0.847060,376.730,319.113,444.751
3.5550,0.718704,0.847764,376.730,319.378,444.381
3.5700,0.719888,0.848462,376.730,319.641,444.016
3.5850,0.721062,0.849153,376.730,319.902,443.654
3.6000,0.722226,0.849839,376.730,320.160,443.296
3.6151,0.723380,0.850517,376.730,320.416,442.942
3.6301,0.724525,0.851190,376.730,320.669,442.592
