Omega_rs_over_c0,R_SYM,R_mu_only,R_eps_only,Rpow_mu_bounded,Rpow_eps_bounded
2.56076e-01,4.829654e-16,4.326799e-01,4.326799e-01,1.872119e-01,1.872119e-01
2.64348e-01,4.973683e-16,4.291830e-01,4.291830e-01,1.841981e-01,1.841981e-01
2.72887e-01,5.097253e-16,4.257633e-01,4.257633e-01,1.812744e-01,1.812744e-01
2.81703e-01,5.197127e-16,4.224174e-01,4.224174e-01,1.784364e-01,1.784364e-01
2.90803e-01,5.269945e-16,4.191365e-01,4.191365e-01,1.756754e-01,1.756754e-01
3.00197e-01,5.312276e-16,4.159062e-01,4.159062e-01,1.729779e-01,1.729779e-01
3.09894e-01,5.320676e-16,4.127058e-01,4.127058e-01,1.703261e-01,1.703261e-01
3.19905e-01,5.291773e-16,4.095090e-01,4.095090e-01,1.676976e-01,1.676976e-01
3.30239e-01,5.222366e-16,4.062838e-01,4.062838e-01,1.650665e-01,1.650665e-01
3.40907e-01,5.109540e-16,4.029935e-01,4.029935e-01,1.624038e-01,1.624038e-01
3.51920e-01,4.950813e-16,3.995987e-01,3.995987e-01,1.596791e-01,1.596791e-01
3.63288e-01,4.744300e-16,3.960581e-01,3.960581e-01,1.568620e-01,1.568620e-01
3.75024e-01,4.488911e-16,3.923322e-01,3.923322e-01,1.539245e-01,1.539245e-01
3.87138e-01,4.184582e-16,3.883850e-01,3.883850e-01,1.508429e-01,1.508429e-01
3.99644e-01,3.832562e-16,3.841881e-01,3.841881e-01,1.476005e-01,1.476005e-01
4.12554e-01,3.435780e-16,3.797237e-01,3.797237e-01,1.441901e-01,1.441901e-01
4.25881e-01,2.999386e-16,3.749879e-01,3.749879e-01,1.406159e-01,1.406159e-01
4.39639e-01,2.531706e-16,3.699937e-01,3.699937e-01,1.368953e-01,1.368953e-01
4.53841e-01,2.046289e-16,3.647730e-01,3.647730e-01,1.330594e-01,1.330594e-01
4.68502e-01,1.567314e-16,3.593771e-01,3.593771e-01,1.291519e-01,1.291519e-01
4.83636e-01,1.145827e-16,3.538753e-01,3.538753e-01,1.252277e-01,1.252277e-01
4.99260e-01,8.983475e-17,3.483508e-01,3.483508e-01,1.213483e-01,1.213483e-01
5.15388e-01,9.652673e-17,3.428942e-01,3.428942e-01,1.175764e-01,1.175764e-01
5.32036e-01,1.271095e-16,3.375932e-01,3.375932e-01,1.139692e-01,1.139692e-01
5.49223e-01,1.650477e-16,3.325212e-01,3.325212e-01,1.105704e-01,1.105704e-01
5.66965e-01,2.017315e-16,3.277240e-01,3.277240e-01,1.074030e-01,1.074030e-01
5.85280e-01,2.331083e-16,3.232087e-01,3.232087e-01,1.044638e-01,1.044638e-01
6.04187e-01,2.569010e-16,3.189360e-01,3.189360e-01,1.017201e-01,1.017201e-01
6.23705e-01,2.718151e-16,3.148198e-01,3.148198e-01,9.911153e-02,9.911153e-02
6.43853e-01,2.774327e-16,3.107357e-01,3.107357e-01,9.655667e-02,9.655667e-02
6.64652e-01,2.743575e-16,3.065378e-01,3.065378e-01,9.396542e-02,9.396542e-02
6.86123e-01,2.644707e-16,3.020849e-01,3.020849e-01,9.125528e-02,9.125528e-02
7.08287e-01,2.511740e-16,2.972702e-01,2.972702e-01,8.836958e-02,8.836958e-02
7.31167e-01,2.392956e-16,2.920506e-01,2.920506e-01,8.529357e-02,8.529357e-02
7.54787e-01,2.339719e-16,2.864679e-01,2.864679e-01,8.206385e-02,8.206385e-02
7.79169e-01,2.381100e-16,2.806539e-01,2.806539e-01,7.876662e-02,7.876662e-02
8.04339e-01,2.500701e-16,2.748134e-01,2.748134e-01,7.552241e-02,7.552241e-02
8.30323e-01,2.641234e-16,2.691799e-01,2.691799e-01,7.245783e-02,7.245783e-02
8.57145e-01,2.730202e-16,2.639506e-01,2.639506e-01,6.966991e-02,6.966991e-02
8.84834e-01,2.702324e-16,2.592157e-01,2.592157e-01,6.719278e-02,6.719278e-02
9.13418e-01,2.512440e-16,2.549098e-01,2.549098e-01,6.497900e-02,6.497900e-02
9.42925e-01,2.145177e-16,2.508121e-01,2.508121e-01,6.290671e-02,6.290671e-02
9.73385e-01,1.630583e-16,2.466098e-01,2.466098e-01,6.081638e-02,6.081638e-02
1.00483e+00,1.097339e-16,2.420122e-01,2.420122e-01,5.856989e-02,5.856989e-02
1.03729e+00,9.372240e-17,2.368790e-01,2.368790e-01,5.611164e-02,5.611164e-02
1.07080e+00,1.365310e-16,2.313079e-01,2.313079e-01,5.350336e-02,5.350336e-02
1.10539e+00,1.911077e-16,2.256295e-01,2.256295e-01,5.090867e-02,5.090867e-02
1.14110e+00,2.273922e-16,2.202780e-01,2.202780e-01,4.852241e-02,4.852241e-02
1.17796e+00,2.312197e-16,2.155687e-01,2.155687e-01,4.646984e-02,4.646984e-02
1.21601e+00,1.970161e-16,2.114898e-01,2.114898e-01,4.472795e-02,4.472795e-02
1.25529e+00,1.319837e-16,2.076616e-01,2.076616e-01,4.312335e-02,4.312335e-02
1.29584e+00,9.022736e-17,2.035377e-01,2.035377e-01,4.142759e-02,4.142759e-02
1.33770e+00,1.621782e-16,1.987632e-01,1.987632e-01,3.950682e-02,3.950682e-02
1.38092e+00,2.618434e-16,1.934630e-01,1.934630e-01,3.742792e-02,3.742792e-02
1.42553e+00,3.295578e-16,1.882206e-01,1.882206e-01,3.542700e-02,3.542700e-02
1.47158e+00,3.366315e-16,1.836673e-01,1.836673e-01,3.373367e-02,3.373367e-02
1.51911e+00,2.699410e-16,1.799229e-01,1.799229e-01,3.237223e-02,3.237223e-02
1.56819e+00,1.381985e-16,1.764085e-01,1.764085e-01,3.111995e-02,3.111995e-02
1.61884e+00,7.615313e-17,1.723350e-01,1.723350e-01,2.969935e-02,2.969935e-02
1.67114e+00,2.362500e-16,1.675006e-01,1.675006e-01,2.805644e-02,2.805644e-02
1.72512e+00,3.529589e-16,1.625944e-01,1.625944e-01,2.643693e-02,2.643693e-02
1.78085e+00,3.671451e-16,1.585175e-01,1.585175e-01,2.512780e-02,2.512780e-02
1.83838e+00,2.611980e-16,1.552794e-01,1.552794e-01,2.411168e-02,2.411168e-02
1.89777e+00,1.062525e-16,1.518714e-01,1.518714e-01,2.306492e-02,2.306492e-02
1.95907e+00,2.588645e-16,1.475523e-01,1.475523e-01,2.177167e-02,2.177167e-02
2.02236e+00,4.570234e-16,1.429584e-01,1.429584e-01,2.043709e-02,2.043709e-02
2.08769e+00,5.289072e-16,1.392958e-01,1.392958e-01,1.940331e-02,1.940331e-02
2.15513e+00,4.343410e-16,1.364294e-01,1.364294e-01,1.861298e-02,1.861298e-02
2.22475e+00,2.151513e-16,1.329701e-01,1.329701e-01,1.768104e-02,1.768104e-02
2.29661e+00,6.091416e-17,1.286558e-01,1.286558e-01,1.655232e-02,1.655232e-02
2.37080e+00,1.688696e-16,1.249620e-01,1.249620e-01,1.561549e-02,1.561549e-02
2.44739e+00,1.245646e-16,1.223275e-01,1.223275e-01,1.496403e-02,1.496403e-02
2.52645e+00,1.586619e-16,1.191359e-01,1.191359e-01,1.419336e-02,1.419336e-02
2.60806e+00,3.675615e-16,1.150939e-01,1.150939e-01,1.324661e-02,1.324661e-02
2.69231e+00,4.446097e-16,1.120066e-01,1.120066e-01,1.254549e-02,1.254549e-02
2.77928e+00,3.238421e-16,1.095912e-01,1.095912e-01,1.201022e-02,1.201022e-02
2.86907e+00,1.152684e-16,1.060537e-01,1.060537e-01,1.124739e-02,1.124739e-02
2.96175e+00,5.276308e-17,1.026880e-01,1.026880e-01,1.054483e-02,1.054483e-02
3.05742e+00,1.989837e-16,1.005039e-01,1.005039e-01,1.010104e-02,1.010104e-02
3.15619e+00,4.171048e-16,9.736363e-02,9.736363e-02,9.479676e-03,9.479676e-03
3.25815e+00,4.458532e-16,9.415263e-02,9.415263e-02,8.864717e-03,8.864717e-03
3.36340e+00,1.676849e-16,9.213989e-02,9.213989e-02,8.489759e-03,8.489759e-03
3.47205e+00,2.238796e-16,8.901830e-02,8.901830e-02,7.924258e-03,7.924258e-03
3.58421e+00,2.657161e-16,8.635779e-02,8.635779e-02,7.457668e-03,7.457668e-03
3.69999e+00,9.764823e-17,8.431260e-02,8.431260e-02,7.108615e-03,7.108615e-03
3.81952e+00,3.981952e-16,8.117266e-02,8.117266e-02,6.589001e-03,6.589001e-03
3.94290e+00,2.214185e-16,7.934824e-02,7.934824e-02,6.296144e-03,6.296144e-03
4.07027e+00,2.489232e-16,7.660599e-02,7.660599e-02,5.868478e-03,5.868478e-03
4.20176e+00,3.127036e-16,7.446520e-02,7.446520e-02,5.545066e-03,5.545066e-03
4.33749e+00,1.149923e-16,7.225520e-02,7.225520e-02,5.220813e-03,5.220813e-03
4.47761e+00,3.681452e-16,6.991675e-02,6.991675e-02,4.888353e-03,4.888353e-03
4.62225e+00,2.013027e-16,6.800131e-02,6.800131e-02,4.624178e-03,4.624178e-03
4.77157e+00,7.694002e-17,6.570952e-02,6.570952e-02,4.317741e-03,4.317741e-03
4.92571e+00,3.379426e-16,6.385559e-02,6.385559e-02,4.077537e-03,4.077537e-03
5.08483e+00,3.455690e-16,6.181865e-02,6.181865e-02,3.821545e-03,3.821545e-03
5.24909e+00,2.024107e-16,5.981694e-02,5.981694e-02,3.578066e-03,3.578066e-03
5.41865e+00,9.474623e-17,5.820663e-02,5.820663e-02,3.388012e-03,3.388012e-03
5.59369e+00,6.380495e-16,5.597972e-02,5.597972e-02,3.133730e-03,3.133730e-03
5.77439e+00,1.822601e-16,5.463530e-02,5.463530e-02,2.985016e-03,2.985016e-03
