A2,cEM_over_c0,cShear_over_c0
0.60661,1.594362,0.791966
0.60861,1.598434,0.790957
0.61061,1.602538,0.789943
0.61261,1.606673,0.788926
0.61462,1.610841,0.787905
0.61662,1.615042,0.786879
0.61862,1.619275,0.785850
0.62062,1.623542,0.784817
0.62262,1.627843,0.783779
0.62463,1.632178,0.782738
0.62663,1.636548,0.781692
0.62863,1.640953,0.780642
0.63063,1.645394,0.779588
0.63263,1.649871,0.778529
0.63464,1.654385,0.777466
0.63664,1.658937,0.776399
0.63864,1.663526,0.775328
0.64064,1.668153,0.774251
0.64264,1.672819,0.773171
0.64465,1.677525,0.772086
0.64665,1.682270,0.770996
0.64865,1.687056,0.769902
0.65065,1.691883,0.768802
0.65265,1.696752,0.767699
0.65466,1.701663,0.766590
0.65666,1.706617,0.765477
0.65866,1.711615,0.764358
0.66066,1.716656,0.763235
0.66266,1.721743,0.762107
0.66467,1.726874,0.760974
0.66667,1.732053,0.759835
0.66867,1.737277,0.758692
0.67067,1.742550,0.757543
0.67267,1.747871,0.756389
0.67468,1.753241,0.755230
0.67668,1.758660,0.754065
0.67868,1.764130,0.752895
0.68068,1.769652,0.751720
0.68268,1.775226,0.750539
0.68469,1.780852,0.749352
0.68669,1.786533,0.748160
0.68869,1.792268,0.746962
0.69069,1.798059,0.745758
0.69269,1.803907,0.744548
0.69470,1.809811,0.743333
0.69670,1.815775,0.742111
0.69870,1.821797,0.740884
0.70070,1.827880,0.739650
0.70270,1.834024,0.738410
0.70471,1.840231,0.737164
0.70671,1.846501,0.735911
0.70871,1.852835,0.734652
0.71071,1.859235,0.733386
0.71271,1.865702,0.732114
0.71472,1.872237,0.730835
0.71672,1.878841,0.729550
0.71872,1.885516,0.728257
0.72072,1.892262,0.726958
0.72272,1.899081,0.725652
0.72473,1.905974,0.724338
0.72673,1.912943,0.723018
0.72873,1.919989,0.721690
0.73073,1.927113,0.720355
0.73273,1.934317,0.719012
0.73474,1.941603,0.717662
0.73674,1.948971,0.716304
0.73874,1.956425,0.714938
0.74074,1.963964,0.713565
0.74274,1.971591,0.712183
0.74475,1.979308,0.710793
0.74675,1.987116,0.709396
0.74875,1.995017,0.707989
0.75075,2.003013,0.706575
0.75275,2.011106,0.705152
0.75476,2.019298,0.703720
0.75676,2.027591,0.702279
0.75876,2.035987,0.700830
0.76076,2.044488,0.699371
0.76276,2.053096,0.697903
0.76477,2.061814,0.696426
0.76677,2.070644,0.694940
0.76877,2.079589,0.693444
0.77077,2.088650,0.691938
0.77277,2.097831,0.690422
0.77478,2.107134,0.688896
0.77678,2.116562,0.687360
0.77878,2.126118,0.685814
0.78078,2.135804,0.684257
0.78278,2.145624,0.682689
0.78479,2.155581,0.681111
0.78679,2.165677,0.679521
0.78879,2.175917,0.677921
0.79079,2.186303,0.676308
0.79279,2.196840,0.674685
0.79480,2.207530,0.673049
0.79680,2.218378,0.671401
0.79880,2.229388,0.669741
0.80080,2.240563,0.668069
0.80280,2.251907,0.666384
0.80481,2.263426,0.664686
0.80681,2.275124,0.662976
0.80881,2.287004,0.661251
0.81081,2.299073,0.659513
0.81281,2.311335,0.657762
0.81482,2.323795,0.655996
0.81682,2.336459,0.654216
0.81882,2.349332,0.652421
0.82082,2.362421,0.650611
0.82282,2.375730,0.648786
0.82483,2.389267,0.646945
0.82683,2.403039,0.645089
0.82883,2.417051,0.643216
0.83083,2.431311,0.641327
0.83283,2.445826,0.639421
0.83484,2.460605,0.637498
0.83684,2.475655,0.635558
0.83884,2.490984,0.633599
0.84084,2.506602,0.631622
0.84284,2.522517,0.629626
0.84485,2.538739,0.627612
0.84685,2.555278,0.625577
0.84885,2.572145,0.623523
0.85085,2.589351,0.621448
0.85285,2.606906,0.619352
0.85486,2.624823,0.617234
0.85686,2.643115,0.615095
0.85886,2.661794,0.612933
0.86086,2.680876,0.610747
0.86286,2.700373,0.608539
0.86487,2.720303,0.606305
0.86687,2.740680,0.604047
0.86887,2.761522,0.601763
0.87087,2.782847,0.599453
0.87287,2.804674,0.597116
0.87488,2.827022,0.594751
0.87688,2.849914,0.592358
0.87888,2.873371,0.589935
0.88088,2.897416,0.587482
0.88288,2.922076,0.584998
0.88489,2.947376,0.582482
0.88689,2.973344,0.579932
0.88889,3.000012,0.577349
0.89089,3.027410,0.574731
0.89289,3.055573,0.572076
0.89490,3.084537,0.569384
0.89690,3.114340,0.566653
0.89890,3.145024,0.563882
0.90090,3.176634,0.561069
0.90290,3.209216,0.558214
0.90491,3.242821,0.555314
0.90691,3.277505,0.552368
0.90891,3.313326,0.549374
0.91091,3.350348,0.546330
0.91291,3.388640,0.543234
0.91492,3.428275,0.540085
0.91692,3.469334,0.536880
0.91892,3.511905,0.533616
0.92092,3.556082,0.530291
0.92292,3.601969,0.526902
0.92493,3.649680,0.523447
0.92693,3.699339,0.519922
0.92893,3.751081,0.516323
0.93093,3.805057,0.512648
0.93293,3.861432,0.508892
0.93494,3.920389,0.505051
0.93694,3.982132,0.501120
0.93894,4.046888,0.497095
0.94094,4.114909,0.492969
0.94294,4.186479,0.488737
0.94495,4.261918,0.484393
0.94695,4.341589,0.479928
0.94895,4.425901,0.475334
0.95095,4.515324,0.470604
0.95295,4.610396,0.465726
0.95496,4.711738,0.460691
0.95696,4.820070,0.455484
0.95896,4.936236,0.450093
0.96096,5.061227,0.444500
0.96296,5.196220,0.438688
0.96497,5.342625,0.432636
0.96697,5.502146,0.426318
0.96897,5.676867,0.419706
0.97097,5.869364,0.412767
0.97297,6.082872,0.405458
0.97498,6.321516,0.397731
0.97698,6.590647,0.389526
0.97898,6.897365,0.380766
0.98098,7.251322,0.371357
0.98298,7.666036,0.361172
0.98499,8.161151,0.350045
0.98699,8.766527,0.337743
0.98899,9.530286,0.323927
0.99099,10.536234,0.308076
0.99299,11.947157,0.289313
0.99500,14.136471,0.265968
0.99700,18.251324,0.234074
0.99900,31.622777,0.177828
