A2,H_shear_redshift,H_EM_phase
0.66667,0.759835,1.732053
0.66867,0.758692,1.737277
0.67067,0.757543,1.742550
0.67267,0.756389,1.747871
0.67468,0.755230,1.753241
0.67668,0.754065,1.758660
0.67868,0.752895,1.764130
0.68068,0.751720,1.769652
0.68268,0.750539,1.775226
0.68469,0.749352,1.780852
0.68669,0.748160,1.786533
0.68869,0.746962,1.792268
0.69069,0.745758,1.798059
0.69269,0.744548,1.803907
0.69470,0.743333,1.809811
0.69670,0.742111,1.815775
0.69870,0.740884,1.821797
0.70070,0.739650,1.827880
0.70270,0.738410,1.834024
0.70471,0.737164,1.840231
0.70671,0.735911,1.846501
0.70871,0.734652,1.852835
0.71071,0.733386,1.859235
0.71271,0.732114,1.865702
0.71472,0.730835,1.872237
0.71672,0.729550,1.878841
0.71872,0.728257,1.885516
0.72072,0.726958,1.892262
0.72272,0.725652,1.899081
0.72473,0.724338,1.905974
0.72673,0.723018,1.912943
0.72873,0.721690,1.919989
0.73073,0.720355,1.927113
0.73273,0.719012,1.934317
0.73474,0.717662,1.941603
0.73674,0.716304,1.948971
0.73874,0.714938,1.956425
0.74074,0.713565,1.963964
0.74274,0.712183,1.971591
0.74475,0.710793,1.979308
0.74675,0.709396,1.987116
0.74875,0.707989,1.995017
0.75075,0.706575,2.003013
0.75275,0.705152,2.011106
0.75476,0.703720,2.019298
0.75676,0.702279,2.027591
0.75876,0.700830,2.035987
0.76076,0.699371,2.044488
0.76276,0.697903,2.053096
0.76477,0.696426,2.061814
0.76677,0.694940,2.070644
0.76877,0.693444,2.079589
0.77077,0.691938,2.088650
0.77277,0.690422,2.097831
0.77478,0.688896,2.107134
0.77678,0.687360,2.116562
0.77878,0.685814,2.126118
0.78078,0.684257,2.135804
0.78278,0.682689,2.145624
0.78479,0.681111,2.155581
0.78679,0.679521,2.165677
0.78879,0.677921,2.175917
0.79079,0.676308,2.186303
0.79279,0.674685,2.196840
0.79480,0.673049,2.207530
0.79680,0.671401,2.218378
0.79880,0.669741,2.229388
0.80080,0.668069,2.240563
0.80280,0.666384,2.251907
0.80481,0.664686,2.263426
0.80681,0.662976,2.275124
0.80881,0.661251,2.287004
0.81081,0.659513,2.299073
0.81281,0.657762,2.311335
0.81482,0.655996,2.323795
0.81682,0.654216,2.336459
0.81882,0.652421,2.349332
0.82082,0.650611,2.362421
0.82282,0.648786,2.375730
0.82483,0.646945,2.389267
0.82683,0.645089,2.403039
0.82883,0.643216,2.417051
0.83083,0.641327,2.431311
0.83283,0.639421,2.445826
0.83484,0.637498,2.460605
0.83684,0.635558,2.475655
0.83884,0.633599,2.490984
0.84084,0.631622,2.506602
0.84284,0.629626,2.522517
0.84485,0.627612,2.538739
0.84685,0.625577,2.555278
0.84885,0.623523,2.572145
0.85085,0.621448,2.589351
0.85285,0.619352,2.606906
0.85486,0.617234,2.624823
0.85686,0.615095,2.643115
0.85886,0.612933,2.661794
0.86086,0.610747,2.680876
0.86286,0.608539,2.700373
0.86487,0.606305,2.720303
0.86687,0.604047,2.740680
0.86887,0.601763,2.761522
0.87087,0.599453,2.782847
0.87287,0.597116,2.804674
0.87488,0.594751,2.827022
0.87688,0.592358,2.849914
0.87888,0.589935,2.873371
0.88088,0.587482,2.897416
0.88288,0.584998,2.922076
0.88489,0.582482,2.947376
0.88689,0.579932,2.973344
0.88889,0.577349,3.000012
0.89089,0.574731,3.027410
0.89289,0.572076,3.055573
0.89490,0.569384,3.084537
0.89690,0.566653,3.114340
0.89890,0.563882,3.145024
0.90090,0.561069,3.176634
0.90290,0.558214,3.209216
0.90491,0.555314,3.242821
0.90691,0.552368,3.277505
0.90891,0.549374,3.313326
0.91091,0.546330,3.350348
0.91291,0.543234,3.388640
0.91492,0.540085,3.428275
0.91692,0.536880,3.469334
0.91892,0.533616,3.511905
