A2,S,Z_SYM_ohm,Z_mu_only_ohm,Z_eps_only_ohm
0.57057,0.655308,376.7303,304.9674,465.3800
0.57257,0.653779,376.7303,304.6113,465.9240
0.57458,0.652246,376.7303,304.2540,466.4712
0.57658,0.650709,376.7303,303.8954,467.0216
0.57858,0.649169,376.7303,303.5356,467.5753
0.58058,0.647626,376.7303,303.1744,468.1323
0.58258,0.646078,376.7303,302.8120,468.6926
0.58459,0.644527,376.7303,302.4482,469.2563
0.58659,0.642972,376.7303,302.0832,469.8233
0.58859,0.641413,376.7303,301.7168,470.3939
0.59059,0.639851,376.7303,301.3491,470.9679
0.59259,0.638284,376.7303,300.9800,471.5454
0.59460,0.636714,376.7303,300.6096,472.1265
0.59660,0.635140,376.7303,300.2377,472.7111
0.59860,0.633562,376.7303,299.8645,473.2995
0.60060,0.631980,376.7303,299.4900,473.8915
0.60260,0.630394,376.7303,299.1139,474.4872
0.60461,0.628804,376.7303,298.7365,475.0867
0.60661,0.627210,376.7303,298.3576,475.6899
0.60861,0.625612,376.7303,297.9773,476.2971
0.61061,0.624010,376.7303,297.5955,476.9081
0.61261,0.622404,376.7303,297.2123,477.5231
0.61462,0.620794,376.7303,296.8275,478.1420
0.61662,0.619179,376.7303,296.4413,478.7650
0.61862,0.617560,376.7303,296.0535,479.3921
0.62062,0.615937,376.7303,295.6643,480.0233
0.62262,0.614310,376.7303,295.2734,480.6587
0.62463,0.612678,376.7303,294.8810,481.2983
0.62663,0.611042,376.7303,294.4871,481.9422
0.62863,0.609402,376.7303,294.0915,482.5904
0.63063,0.607757,376.7303,293.6944,483.2430
0.63263,0.606108,376.7303,293.2956,483.9000
0.63464,0.604454,376.7303,292.8952,484.5615
0.63664,0.602796,376.7303,292.4931,485.2276
0.63864,0.601133,376.7303,292.0894,485.8982
0.64064,0.599465,376.7303,291.6840,486.5736
0.64264,0.597793,376.7303,291.2769,487.2536
0.64465,0.596116,376.7303,290.8681,487.9385
0.64665,0.594435,376.7303,290.4576,488.6281
0.64865,0.592748,376.7303,290.0453,489.3227
0.65065,0.591057,376.7303,289.6312,490.0222
0.65265,0.589361,376.7303,289.2154,490.7268
0.65466,0.587660,376.7303,288.7977,491.4365
0.65666,0.585955,376.7303,288.3783,492.1513
0.65866,0.584244,376.7303,287.9570,492.8713
0.66066,0.582528,376.7303,287.5338,493.5967
0.66266,0.580807,376.7303,287.1088,494.3274
0.66467,0.579081,376.7303,286.6818,495.0636
0.66667,0.577350,376.7303,286.2530,495.8052
0.66867,0.575613,376.7303,285.8222,496.5525
0.67067,0.573872,376.7303,285.3895,497.3054
0.67267,0.572125,376.7303,284.9548,498.0641
0.67468,0.570372,376.7303,284.5180,498.8286
0.67668,0.568615,376.7303,284.0793,499.5990
0.67868,0.566852,376.7303,283.6385,500.3754
0.68068,0.565083,376.7303,283.1957,501.1578
0.68268,0.563309,376.7303,282.7508,501.9464
0.68469,0.561529,376.7303,282.3037,502.7413
0.68669,0.559743,376.7303,281.8545,503.5425
0.68869,0.557952,376.7303,281.4032,504.3501
0.69069,0.556155,376.7303,280.9497,505.1642
0.69269,0.554352,376.7303,280.4940,505.9849
0.69470,0.552544,376.7303,280.0360,506.8124
0.69670,0.550729,376.7303,279.5758,507.6467
0.69870,0.548909,376.7303,279.1133,508.4878
0.70070,0.547082,376.7303,278.6485,509.3360
0.70270,0.545249,376.7303,278.1814,510.1913
0.70471,0.543410,376.7303,277.7119,511.0539
0.70671,0.541565,376.7303,277.2400,511.9238
0.70871,0.539713,376.7303,276.7656,512.8011
0.71071,0.537856,376.7303,276.2889,513.6860
0.71271,0.535991,376.7303,275.8096,514.5786
0.71472,0.534120,376.7303,275.3278,515.4790
0.71672,0.532243,376.7303,274.8435,516.3874
0.71872,0.530359,376.7303,274.3567,517.3038
0.72072,0.528468,376.7303,273.8672,518.2284
0.72272,0.526571,376.7303,273.3750,519.1613
0.72473,0.524666,376.7303,272.8802,520.1026
0.72673,0.522755,376.7303,272.3827,521.0526
0.72873,0.520836,376.7303,271.8825,522.0113
0.73073,0.518911,376.7303,271.3795,522.9789
0.73273,0.516978,376.7303,270.8736,523.9555
0.73474,0.515038,376.7303,270.3649,524.9413
0.73674,0.513091,376.7303,269.8534,525.9365
0.73874,0.511136,376.7303,269.3389,526.9412
0.74074,0.509174,376.7303,268.8214,527.9555
0.74274,0.507205,376.7303,268.3009,528.9797
0.74475,0.505227,376.7303,267.7774,530.0138
0.74675,0.503242,376.7303,267.2508,531.0582
0.74875,0.501249,376.7303,266.7211,532.1130
0.75075,0.499248,376.7303,266.1881,533.1783
0.75275,0.497239,376.7303,265.6520,534.2543
0.75476,0.495222,376.7303,265.1126,535.3413
0.75676,0.493196,376.7303,264.5699,536.4395
0.75876,0.491162,376.7303,264.0238,537.5490
0.76076,0.489120,376.7303,263.4743,538.6700
0.76276,0.487069,376.7303,262.9214,539.8029
0.76477,0.485010,376.7303,262.3649,540.9478
0.76677,0.482941,376.7303,261.8049,542.1049
0.76877,0.480864,376.7303,261.2413,543.2745
0.77077,0.478778,376.7303,260.6740,544.4568
0.77277,0.476683,376.7303,260.1030,545.6521
0.77478,0.474578,376.7303,259.5281,546.8607
0.77678,0.472464,376.7303,258.9495,548.0827
0.77878,0.470341,376.7303,258.3669,549.3185
0.78078,0.468208,376.7303,257.7804,550.5684
0.78278,0.466065,376.7303,257.1898,551.8327
0.78479,0.463912,376.7303,256.5951,553.1115
0.78679,0.461749,376.7303,255.9963,554.4054
0.78879,0.459576,376.7303,255.3932,555.7145
0.79079,0.457393,376.7303,254.7859,557.0392
0.79279,0.455199,376.7303,254.1741,558.3799
0.79480,0.452995,376.7303,253.5580,559.7368
0.79680,0.450780,376.7303,252.9372,561.1104
0.79880,0.448554,376.7303,252.3119,562.5011
0.80080,0.446316,376.7303,251.6819,563.9091
0.80280,0.444068,376.7303,251.0472,565.3349
0.80481,0.441808,376.7303,250.4075,566.7790
0.80681,0.439537,376.7303,249.7630,568.2417
0.80881,0.437253,376.7303,249.1134,569.7234
0.81081,0.434958,376.7303,248.4587,571.2247
0.81281,0.432650,376.7303,247.7988,572.7459
0.81482,0.430331,376.7303,247.1335,574.2877
0.81682,0.427998,376.7303,246.4629,575.8504
0.81882,0.425653,376.7303,245.7867,577.4346
0.82082,0.423295,376.7303,245.1049,579.0408
0.82282,0.420923,376.7303,244.4173,580.6697
0.82483,0.418538,376.7303,243.7239,582.3217
0.82683,0.416140,376.7303,243.0246,583.9974
0.82883,0.413727,376.7303,242.3191,585.6976
0.83083,0.411301,376.7303,241.6075,587.4228
0.83283,0.408860,376.7303,240.8894,589.1737
0.83484,0.406404,376.7303,240.1650,590.9510
0.83684,0.403934,376.7303,239.4338,592.7555
0.83884,0.401448,376.7303,238.6960,594.5879
0.84084,0.398947,376.7303,237.9512,596.4489
0.84284,0.396429,376.7303,237.1994,598.3394
0.84485,0.393896,376.7303,236.4403,600.2603
0.84685,0.391347,376.7303,235.6739,602.2124
0.84885,0.388781,376.7303,234.8999,604.1967
0.85085,0.386197,376.7303,234.1182,606.2140
0.85285,0.383597,376.7303,233.3286,608.2656
0.85486,0.380978,376.7303,232.5308,610.3523
0.85686,0.378341,376.7303,231.7248,612.4753
0.85886,0.375686,376.7303,230.9103,614.6358
0.86086,0.373012,376.7303,230.0871,616.8349
0.86286,0.370319,376.7303,229.2549,619.0739
0.86487,0.367606,376.7303,228.4136,621.3541
0.86687,0.364873,376.7303,227.5629,623.6770
0.86887,0.362119,376.7303,226.7025,626.0440
0.87087,0.359344,376.7303,225.8322,628.4565
0.87287,0.356548,376.7303,224.9518,630.9163
0.87488,0.353729,376.7303,224.0608,633.4250
0.87688,0.350888,376.7303,223.1591,635.9844
0.87888,0.348023,376.7303,222.2464,638.5963
0.88088,0.345135,376.7303,221.3223,641.2627
0.88288,0.342222,376.7303,220.3864,643.9858
0.88489,0.339285,376.7303,219.4385,646.7677
0.88689,0.336322,376.7303,218.4781,649.6107
0.88889,0.333332,376.7303,217.5049,652.5174
0.89089,0.330315,376.7303,216.5185,655.4902
0.89289,0.327271,376.7303,215.5183,658.5320
0.89490,0.324198,376.7303,214.5041,661.6458
0.89690,0.321095,376.7303,213.4753,664.8345
0.89890,0.317963,376.7303,212.4313,668.1017
0.90090,0.314799,376.7303,211.3718,671.4507
0.90290,0.311603,376.7303,210.2961,674.8854
0.90491,0.308373,376.7303,209.2036,678.4097
0.90691,0.305110,376.7303,208.0937,682.0281
0.90891,0.301811,376.7303,206.9657,685.7450
0.91091,0.298476,376.7303,205.8191,689.5655
0.91291,0.295104,376.7303,204.6529,693.4949
0.91492,0.291692,376.7303,203.4664,697.5388
0.91692,0.288240,376.7303,202.2588,701.7035
0.91892,0.284746,376.7303,201.0292,705.9955
0.92092,0.281208,376.7303,199.7766,710.4221
0.92292,0.277626,376.7303,198.5000,714.9910
0.92493,0.273997,376.7303,197.1983,719.7107
0.92693,0.270319,376.7303,195.8703,724.5904
0.92893,0.266590,376.7303,194.5147,729.6402
0.93093,0.262808,376.7303,193.1301,734.8710
0.93293,0.258971,376.7303,191.7151,740.2949
0.93494,0.255077,376.7303,190.2681,745.9250
0.93694,0.251122,376.7303,188.7873,751.7759
0.93894,0.247103,376.7303,187.2708,757.8638
0.94094,0.243019,376.7303,185.7165,764.2064
0.94294,0.238864,376.7303,184.1222,770.8236
0.94495,0.234636,376.7303,182.4853,777.7377
0.94695,0.230330,376.7303,180.8032,784.9734
0.94895,0.225943,376.7303,179.0728,792.5587
0.95095,0.221468,376.7303,177.2908,800.5252
0.95295,0.216901,376.7303,175.4533,808.9090
0.95496,0.212236,376.7303,173.5562,817.7511
0.95696,0.207466,376.7303,171.5947,827.0985
0.95896,0.202584,376.7303,169.5636,837.0059
0.96096,0.197581,376.7303,167.4568,847.5366
0.96296,0.192448,376.7303,165.2672,858.7650
0.96497,0.187174,376.7303,162.9871,870.7790
